,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
76,ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
77,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6
78,ALOKINDS,Alok Industries Limited,BE,19-FEB-2020,1,1,INE270A01029,1
79,ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
80,ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
81,ALPSINDUS,Alps Industries Limited,EQ,24-APR-1996,10,1,INE093B01015,10
82,AMARAJABAT,Amara Raja Batteries Limited,EQ,05-SEP-2003,1,1,INE885A01032,1
83,AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
84,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,BE,29-JUN-2004,10,1,INE792B01012,10
85,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
86,AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
87,AMDIND,AMD Industries Limited,BE,19-MAR-2007,10,1,INE005I01014,10
88,AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10,1,INE00FF01017,10
89,AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
90,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1
91,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
92,ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
93,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10,1,INE435A01028,10
94,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2
95,ANDREWYU,Andrew Yule & Company Limited,EQ,05-AUG-2021,2,1,INE449C01025,2
96,ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10
97,ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10
98,ANKITMETAL,Ankit Metal & Power Limited,EQ,14-MAR-2013,10,1,INE106I01010,10
99,ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10
100,ANSALAPI,Ansal Properties & Infrastructure Limited,BE,27-JAN-2006,5,1,INE436A01026,5
101,ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
102,ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10
103,ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10
104,APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
105,APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10
106,APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2
107,APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10
108,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2
109,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2
110,APOLLO,Apollo Micro Systems Limited,BE,22-JAN-2018,10,1,INE713T01010,10
111,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5
112,APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10
113,APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1
114,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5
115,APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
116,APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2
117,ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10
118,ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2
119,ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10
120,ARIES,Aries Agro Limited,EQ,11-JAN-2008,10,1,INE298I01015,10
121,ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1
122,ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10
123,ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10
124,AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10
125,ARROWGREEN,Arrow Greentech Limited,BE,21-MAY-2015,10,1,INE570D01018,10
126,ARSHIYA,Arshiya Limited,EQ,14-DEC-2009,2,1,INE968D01022,2
127,ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10,1,INE267I01010,10
128,ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1,1,INE025R01021,1
129,ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,10,1,INE738V01013,10
130,ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10
131,ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10
132,ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4
133,ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10
134,ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1
135,ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10
136,ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10
137,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10
138,ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2
139,ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2
140,ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10
141,ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5
142,ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1
143,ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10
144,ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10
145,ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1
146,ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10
147,ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10
148,ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10
149,ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10
150,ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1
151,ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2
152,ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
153,ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10
154,ATFL,Agro Tech Foods Limited,EQ,06-DEC-2002,10,1,INE209A01019,10
155,ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1
156,ATLANTA,Atlanta  Limited,BE,25-SEP-2006,2,1,INE285H01022,2
157,ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10
158,ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5
159,AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10
160,AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10
161,AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1
162,AURUM,Aurum PropTech Limited,BE,19-AUG-2015,5,1,INE898S01029,5
163,AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10
164,AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10
165,AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10
166,AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10
167,AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1
168,AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,10,1,INE652Z01017,10
169,AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1
170,AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5
171,AWL,Adani Wilmar Limited,EQ,08-FEB-2022,1,1,INE699H01024,1
172,AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2
173,AXISCADES,AXISCADES Technologies Limited,EQ,21-DEC-2000,5,1,INE555B01013,5
174,AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1
175,AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10
176,BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10
177,BAGFILMS,B.A.G Films and Media Limited,BE,17-OCT-2003,2,1,INE116D01028,2
178,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10
179,BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1
180,BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2
181,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
182,BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5
183,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1
184,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10
185,BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2
186,BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2
187,BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2
188,BALAXI,BALAXI PHARMACEUTICALS LIMITED,BE,30-NOV-2015,10,1,INE618N01014,10
189,BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
190,BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2
191,BALLARPUR,Ballarpur Industries Limited,BZ,31-MAR-2008,2,1,INE294A01037,2
192,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
193,BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
194,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
195,BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,1,INE655B01011,10
196,BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
197,BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
198,BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10
199,BANG,Bang Overseas Limited,EQ,20-FEB-2008,10,1,INE863I01016,10
200,BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10,1,INE862Y01015,10
201,BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2
202,BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10
203,BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
204,BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5,1,INE382M01027,5
205,BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10
206,BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5,1,INE186H01022,5
207,BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
208,BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10
209,BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,10,1,INE464A01028,10
210,BBOX,Black Box Limited,EQ,22-JUL-2003,2,1,INE676A01027,2
211,BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
212,BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,INE01EE01011,10
213,BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2
214,BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,10,1,INE412G01016,10
215,BCONCEPTS,Brand Concepts Limited,BE,11-JAN-2022,10,1,INE977Y01011,10
216,BCP,B.C. Power Controls Ltd,EQ,19-AUG-2019,2,1,INE905P01028,2
217,BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,10,1,INE171Z01018,10
218,BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2
219,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10
220,BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10
221,BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
222,BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
223,BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1
224,BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1
225,BESTAGRO,Best Agrolife Limited,EQ,22-FEB-2021,10,1,INE052T01013,10
226,BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5
227,BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
228,BGRENERGY,BGR Energy Systems Limited,EQ,03-JAN-2008,10,1,INE661I01014,10
229,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,10,1,INE414D01019,10
230,BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5
231,BHAGYANGR,Bhagyanagar India Limited,EQ,17-MAY-2017,2,1,INE458B01036,2
232,BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-JUL-2017,2,1,INE363W01018,2
233,BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1,1,INE474E01029,1
234,BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2
235,BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,INE561C01019,10
236,BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10
237,BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10,1,INE316L01019,10
238,BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5
239,BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
240,BIGBLOC,Bigbloc Construction Limited,BE,02-SEP-2016,2,1,INE412U01025,2
241,BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
242,BIL,Bhartiya International Limited,EQ,12-APR-2000,10,1,INE828A01016,10
243,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-AUG-1996,10,1,INE143A01010,10
244,BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
245,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10,1,INE829A01014,10
246,BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,INE800A01015,10
247,BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10
248,BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,1,1,INE865C01022,1
249,BIRLATYRE,Birla Tyres Limited,BE,10-FEB-2020,10,1,INE0AEJ01013,10
250,BKMINDST,Bkm Industries Limited,BZ,30-MAR-2015,1,1,INE831Q01016,1
251,BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1,1,INE791A01024,1
252,BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1
253,BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1,1,INE350H01032,1
254,BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1
255,BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10
256,BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2
257,BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2
258,BOHRAIND,Bohra Industries Limited,BE,27-OCT-2022,10,1,INE802W01023,10
259,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2
260,BOROLTD,Borosil Limited,EQ,22-JUL-2020,1,1,INE02PY01013,1
261,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1
262,BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10
263,BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
264,BPL,BPL Limited,EQ,14-JUN-1995,10,1,INE110A01019,10
265,BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10
266,BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1
267,BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10,1,INE727S01012,10
268,BROOKS,Brooks Laboratories Limited,BE,05-SEP-2011,10,1,INE650L01011,10
269,BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2
270,BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-OCT-2020,1,1,INE032Z01020,1
271,BSL,BSL Limited,EQ,27-JUL-1995,10,1,INE594B01012,10
272,BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2
273,BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10
274,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10,1,INE295F01017,10
275,BVCL,Barak Valley Cements Limited,BE,23-NOV-2007,10,1,INE139I01011,10
276,BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10,1,INE319B01014,10
277,CALSOFT,California Software Company Limited,EQ,28-JUN-2000,10,1,INE526B01014,10
278,CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,INE052I01032,1
279,CAMPUS,Campus Activewear Limited,EQ,09-MAY-2022,5,1,INE278Y01022,5
280,CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10
281,CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10
282,CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2
283,CANTABIL,Cantabil Retail India Limited,EQ,12-OCT-2010,10,1,INE068L01016,10
284,CAPACITE,Capacit'e Infraprojects Limited,EQ,25-SEP-2017,10,1,INE264T01014,10
285,CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2
286,CAPTRUST,Capital Trust Limited,EQ,16-JAN-2017,10,1,INE707C01018,10
287,CARBORUNIV,Carborundum Universal Limited,EQ,03-APR-1996,1,1,INE120A01034,1
